what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86_64",1429813633840
ws,sysinfo,,,"win32",1429813633840
locale,sysinfo,,,"en_US",1429813633840
processors,sysinfo,,,"8",1429813633840
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1429813633840
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1429813633840
java.specification.name,sysinfo,,,"Java Platform API Specification",1429813633840
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1429813633840
java.specification.version,sysinfo,,,"1.6",1429813633840
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1429813633840
java.version,sysinfo,,,"1.6.0_23",1429813633840
java.vm.info,sysinfo,,,"mixed mode",1429813633840
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1429813633840
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1429813633840
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1429813633840
java.vm.specification.version,sysinfo,,,"1.0",1429813633840
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1429813633840
java.vm.version,sysinfo,,,"19.0-b09",1429813633840
started,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1429813633874
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1429813645420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813646518
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1429813658592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813658661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1429813658672
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1429813658672
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1429813658741
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813658970
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1429813659150
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1429813659235
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1429813659358
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1429813659409
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1429813662796
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1429813662920
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1429813662929
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1429813662930
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1429813662930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813665586
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1429813673935
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1429813673938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813676769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813683630
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1429813700472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813700762
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813714302
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1429813715814
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1429813715818
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1429813715831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813719042
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1429813727069
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1429813727087
started,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1429813728833
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813735691
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1429813735702
opened,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1429813737481
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1429813737601
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1429813743837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813746980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813753280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813824528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813832236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813832511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813895022
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1429813910209
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1429813913944
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1429813913953
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1429813914269
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1429813914482
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1429813914920
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1429813915100
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1429813915136
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1429813916061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813924393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813925949
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813926217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429813929503
